publicIP,FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,Timestamp,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwdPkts,TotLenBwdPkts,FwdPktLenMax,FwdPktLenMin,FwdPktLenMean,FwdPktLenStd,BwdPktLenMax,BwdPktLenMin,BwdPktLenMean,BwdPktLenStd,FlowByts/s,FlowPkts/s,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTot,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTot,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FwdHeaderLen,BwdHeaderLen,FwdPkts/s,BwdPkts/s,PktLenMin,PktLenMax,PktLenMean,PktLenStd,PktLenVar,FINFlagCnt,SYNFlagCnt,RSTFlagCnt,PSHFlagCnt,ACKFlagCnt,URGFlagCnt,CWEFlagCount,ECEFlagCnt,Down/UpRatio,PktSizeAvg,FwdSegSizeAvg,BwdSegSizeAvg,FwdByts/bAvg,FwdPkts/bAvg,FwdBlkRateAvg,BwdByts/bAvg,BwdPkts/bAvg,BwdBlkRateAvg,SubflowFwdPkts,SubflowFwdByts,SubflowBwdPkts,SubflowBwdByts,InitFwdWinByts,InitBwdWinByts,FwdActDataPkts,FwdSegSizeMin,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,Label
62.75.145.252,192.168.1.113-62.75.145.252-60786-8080-6,192.168.1.113,60786,62.75.145.252,8080,6,06/01/1970 02:03:55 PM,1131023,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.304931906778201,226204.6,253276.74874492528,508878.0,10492.0,601084.0,601084.0,0.0,601084.0,601084.0,1131023.0,377007.6666666667,322720.28344424424,618882.0,10569.0,0,0,0,0,60,92,1.7683106355927334,3.5366212711854668,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APT
93.189.89.83,10.0.2.108-93.189.89.83-56169-8080-6,93.189.89.83,8080,10.0.2.108,56169,6,6/1/1970 16:06,48274,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.43016945,48274.0,0.0,48274.0,48274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,20.71508472,20.71508472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APT
91.219.28.55,192.168.1.121-91.219.28.55-49675-443-6,192.168.1.121,49675,91.219.28.55,443,6,02/01/1970 03:15:04 PM,200,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,66.66666666666667,44.881324995295465,96.0,15.0,96.0,96.0,0.0,96.0,96.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,40,40,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APT
239.255.255.250,192.168.1.127-239.255.255.250-53737-1900-17,192.168.1.127,53737,239.255.255.250,1900,17,20/01/1970 11:18:57 PM,3001405,3,1,522.0,174.0,174.0,174.0,174.0,0.0,174.0,174.0,174.0,0.0,231.891397528824,1.332709181200138,1000468.3333333334,677.296340853347,1001243.0,999988.0,2000162.0,1000081.0,131.52186130069785,1000174.0,999988.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,0.9995318859001034,0.3331772953000345,174.0,174.0,174.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,217.5,174.0,174.0,0,0,0,0,0,0,3,522,1,174,-1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
8.6.0.1,8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,08/01/1970 07:12:29 PM,116073904,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094767209690819,11607390.4,21254052.240788784,69306115.0,84.0,103946587.0,11549620.777777778,22542493.956567217,69306115.0,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0861520088098355,0.0086152008809835,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,0,0,0,2575038.5,3641470.5225697625,5149947.0,130.0,27730956.75,27768664.59855634,69306115.0,12127317.0,BENIGN
119.59.124.163,192.168.1.113-119.59.124.163-58190-8080-6,119.59.124.163,8080,192.168.1.113,58190,6,02/01/1970 07:40:14 PM,1441709,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080863752671309,720854.5,2474.1666273717296,722604.0,719105.0,722604.0,722604.0,0.0,722604.0,722604.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,1.3872425017808727,0.6936212508904364,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APT
103.4.18.170,192.168.1.118-103.4.18.170-54871-443-6,192.168.1.118,54871,103.4.18.170,443,6,04/01/1970 02:43:20 AM,145,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13793.103448275862,145.0,0.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,6896.551724137931,6896.551724137931,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APT
103.4.18.170,192.168.1.125-103.4.18.170-52131-443-6,192.168.1.125,52131,103.4.18.170,443,6,18/01/1970 10:22:47 PM,155,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12903.225806451614,155.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,6451.612903225807,6451.612903225807,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APT
8.8.4.4,192.168.1.110-8.8.4.4-56012-53-17,192.168.1.110,56012,8.8.4.4,53,17,05/01/1970 03:40:07 AM,1137,0,2,0.0,98.0,0.0,0.0,0.0,0.0,57.0,41.0,49.0,11.31370849898476,86191.73262972735,1759.0149516270887,1137.0,0.0,1137.0,1137.0,0.0,0.0,0.0,0.0,0.0,1137.0,1137.0,0.0,1137.0,1137.0,0,0,0,0,0,16,0.0,1759.0149516270887,41.0,57.0,46.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,69.5,0.0,49.0,0,0,0,0,0,0,0,0,2,98,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
216.66.0.143,192.168.1.130-216.66.0.143-54438-5353-6,192.168.1.130,54438,216.66.0.143,5353,6,13/01/1970 02:48:38 PM,215,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9302.32558139535,215.0,0.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,4651.162790697675,4651.162790697675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16063,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APT
